"Flag","Flags"
"","Official data"
"*","Unofficial figure"
"A","Aggregate, may include official, semi-official, estimated or calculated data"
"B","Balance"
"Bk","Break in series"
"C","Calculated"
"Ce","Calculated data based on estimated data"
"Cv","Calculated through value"
"E","Expert sources from FAO (including other divisions)"
"F","FAO estimate"
"Fa","Other analytical methods"
"Fb","Data obtained as a balance"
"Fc","Calculated data"
"Fd","estimates - discontinued time series"
"Fk","Calculated data on the basis of official figures"
"Fm","Manual Estimation"
"I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"Im","FAO data based on imputation methodology"
"M","Data not available"
"NA","Not applicable"
"NR","Not reported"
"NV","Data not available"
"Od","Official data - discontinued time series"
"P","Provisional official data"
"Q","Official data reported on FAO Questionnaires from countries"
"Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"R","Estimated data using trading partners database"
"S","Standardized data"
"SD","Statistical Discrepancy"
"W","Data reported on country official publications or web sites (Official) or trade country files"
"X","International reliable sources"
"Z","When the Fertilizer Utilization Account (FUA) does not balance due to utilization from stockpiles, apparent consumption has been set to zero"
